inchikey,smiles,molwt,logp,HBA,HBD
CESYKOGBSMNBPD-UHFFFAOYSA-N,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,360.2440000000002,0.5983,7,3
WUBBRNOQWQTFEX-UHFFFAOYSA-N,Nc1ccc(C(=O)O)c(O)c1,153.137,0.6725999999999999,4,4
CBQGYUDMJHNJBX-RTBURBONSA-N,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.397,3.1938000000000013,4,1
PZRHRDRVRGEVNW-UHFFFAOYSA-N,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,211.224,1.6169999999999998,4,1
NJBFOOCLYDNZJN-UHFFFAOYSA-N,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,356.0580000000003,1.2271999999999998,4,0
ZRIHAIZYIMGOAB-UHFFFAOYSA-N,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.24899999999997,0.7948999999999999,5,2
NQDJXKOVJZTUJA-UHFFFAOYSA-N,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.304,2.6512200000000004,5,1
QRJJEGAJXVEBNE-HKOYGPOVSA-N,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,429.134,6.117800000000004,4,0
FJXOGVLKCZQRDN-PHCHRAKRSA-N,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,408.92200000000014,2.020900000000001,5,3
UZVHFVZFNXBMQJ-UHFFFAOYSA-N,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.25999999999996,0.9610000000000001,5,2
PTOAARAWEBMLNO-KVQBGUIXSA-N,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,285.69100000000003,-0.29739999999999966,8,4
XKLMZUWKNUAPSZ-UHFFFAOYSA-N,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,427.54500000000013,2.30804,7,2
KBOPZPXVLCULAV-UHFFFAOYSA-N,Nc1ccc(O)c(C(=O)O)c1,153.137,0.6725999999999999,4,4
GIJXKZJWITVLHI-PMOLBWCYSA-N,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,307.43700000000007,4.417800000000004,2,0
MVWVFYHBGMAFLY-UHFFFAOYSA-N,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,412.94600000000014,3.809000000000003,5,1
KPJZHOPZRAFDTN-NQUBZZJWSA-N,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,353.4660000000002,1.9350999999999992,5,2
KORNTPPJEAJQIU-KJXAQDMKSA-N,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,451.6150000000003,3.193900000000001,7,2
XQFRJNBWHJMXHO-RRKCRQDMSA-N,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,354.1000000000002,-1.2181000000000004,7,3
MQJKPEGWNLWLTK-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.30700000000004,1.6837999999999995,4,4
BLSQLHNBWJLIBQ-OZXSUGGESA-N,CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,532.4720000000003,4.462700000000003,8,0
CXOFVDLJLONNDW-UHFFFAOYSA-N,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27300000000005,1.7695999999999998,4,2
GZENKSODFLBBHQ-ILSZZQPISA-N,CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,344.4950000000001,3.9403000000000032,3,1
JBIWCJUYHHGXTC-AKNGSSGZSA-N,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,444.44000000000017,-0.3475999999999987,10,7
RGLYKWWBQGJZGM-UHFFFAOYSA-N,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,268.35600000000005,4.828600000000003,2,2
AHEVKYYGXVEWNO-UEPZRUIBSA-N,CN(C)C1C(O)=C(C(=O)NCNCCCCC(N)C(=O)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,602.6410000000003,-0.45419999999999655,14,10
VNFPBHJOKIVQEB-UHFFFAOYSA-N,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.8450000000001,5.376700000000004,2,0
VSGNNIFQASZAOI-UHFFFAOYSA-L,CC(=O)[O-].CC(=O)[O-].[Ca+2],158.166,-2.8683999999999985,4,0
